Taxa,Year,Location,Plant_height,Plant height collected in 2015 was new data in present study
PR1314_1285,2015,Manhattan,182.666666666667,
PR1314_1286,2015,Manhattan,155.333333333333,
PR1314_1287,2015,Manhattan,132.666666666667,
PR1314_1288,2015,Manhattan,140,
PR1314_1289,2015,Manhattan,120.666666666667,
PR1314_1290,2015,Manhattan,166.666666666667,
PR1314_1291,2015,Manhattan,158.666666666667,
PR1314_1292,2015,Manhattan,132.666666666667,
PR1314_1293,2015,Manhattan,174.666666666667,
PR1314_1294,2015,Manhattan,187.333333333333,
PR1314_1295,2015,Manhattan,145.333333333333,
PR1314_1297,2015,Manhattan,141.333333333333,
PR1314_1298,2015,Manhattan,201.333333333333,
PR1314_1299,2015,Manhattan,172.666666666667,
PR1314_1300,2015,Manhattan,152.666666666667,
PR1314_1301,2015,Manhattan,151.333333333333,
PR1314_1302,2015,Manhattan,182,
PR1314_1303,2015,Manhattan,179.333333333333,
PR1314_1304,2015,Manhattan,118.666666666667,
PR1314_1305,2015,Manhattan,140,
PR1314_1307,2015,Manhattan,153.333333333333,
PR1314_1308,2015,Manhattan,110,
PR1314_1309,2015,Manhattan,141.333333333333,
PR1314_1311,2015,Manhattan,178.666666666667,
PR1314_1315,2015,Manhattan,180.666666666667,
PR1314_1316,2015,Manhattan,152,
PR1314_1317,2015,Manhattan,142,
PR1314_1318,2015,Manhattan,148.666666666667,
PR1314_1319,2015,Manhattan,128.666666666667,
PR1314_1320,2015,Manhattan,174.666666666667,
PR1314_1321,2015,Manhattan,170,
PR1314_1322,2015,Manhattan,177.333333333333,
PR1314_1324,2015,Manhattan,161.333333333333,
PR1314_1325,2015,Manhattan,146.666666666667,
PR1314_1326,2015,Manhattan,178.666666666667,
PR1314_1327,2015,Manhattan,185.333333333333,
PR1314_1328,2015,Manhattan,154.666666666667,
PR1314_1329,2015,Manhattan,134,
PR1314_1330,2015,Manhattan,182.666666666667,
PR1314_1331,2015,Manhattan,154,
PR1314_1332,2015,Manhattan,178.666666666667,
PR1314_1333,2015,Manhattan,170,
PR1314_1334,2015,Manhattan,136,
PR1314_1335,2015,Manhattan,158,
PR1314_1336,2015,Manhattan,155.333333333333,
PR1314_1338,2015,Manhattan,193.333333333333,
PR1314_1340,2015,Manhattan,168,
PR1314_1341,2015,Manhattan,202,
PR1314_1343,2015,Manhattan,125.333333333333,
PR1314_1344,2015,Manhattan,202.666666666667,
PR1314_1345,2015,Manhattan,142.666666666667,
PR1314_1346,2015,Manhattan,185.333333333333,
PR1314_1347,2015,Manhattan,184.666666666667,
PR1314_1349,2015,Manhattan,150,
PR1314_1350,2015,Manhattan,169.333333333333,
PR1314_1351,2015,Manhattan,137.333333333333,
PR1314_1352,2015,Manhattan,199.333333333333,
PR1314_1353,2015,Manhattan,166,
PR1314_1356,2015,Manhattan,130.666666666667,
PR1314_1357,2015,Manhattan,152,
PR1314_1358,2015,Manhattan,183.333333333333,
PR1314_1359,2015,Manhattan,174,
PR1314_1360,2015,Manhattan,182,
PR1314_1361,2015,Manhattan,129.333333333333,
PR1314_1362,2015,Manhattan,176.666666666667,
PR1314_1363,2015,Manhattan,191.333333333333,
PR1314_1364,2015,Manhattan,112,
PR1314_1365,2015,Manhattan,162.666666666667,
PR1314_1367,2015,Manhattan,167.333333333333,
PR1314_1368,2015,Manhattan,122,
PR1314_1369,2015,Manhattan,135.333333333333,
PR1314_1370,2015,Manhattan,144,
PR1314_1371,2015,Manhattan,166,
PR1314_1372,2015,Manhattan,140,
PR1314_1373,2015,Manhattan,154.666666666667,
