Plot_ID	Pedigree	LIB	Family
PR1314_1352	Tx430/SC971	PR1314_1352:729	SC971_RIL
PR1314_1353	Tx430/SC971	PR1314_1353:730	SC971_RIL
PR1314_1354	Tx430/SC971	PR1314_1354:MERGE	SC971_RIL
PR1314_1355	Tx430/SC971	PR1314_1355:732	SC971_RIL
PR1314_1356	Tx430/SC971	PR1314_1356:733	SC971_RIL
PR1314_1357	Tx430/SC971	PR1314_1357:734	SC971_RIL
PR1314_1358	Tx430/SC971	PR1314_1358:MERGE	SC971_RIL
PR1314_1359	Tx430/SC971	PR1314_1359:736	SC971_RIL
PR1314_1360	Tx430/SC971	PR1314_1360:737	SC971_RIL
PR1314_1361	Tx430/SC971	PR1314_1361:738	SC971_RIL
PR1314_1362	Tx430/SC971	PR1314_1362:739	SC971_RIL
PR1314_1363	Tx430/SC971	PR1314_1363:MERGE	SC971_RIL
PR1314_1364	Tx430/SC971	PR1314_1364:741	SC971_RIL
PR1314_1365	Tx430/SC971	PR1314_1365:742	SC971_RIL
PR1314_1366	Tx430/SC971	PR1314_1366:MERGE	SC971_RIL
PR1314_1367	Tx430/SC971	PR1314_1367:744	SC971_RIL
PR1314_1368	Tx430/SC971	PR1314_1368:745	SC971_RIL
PR1314_1369	Tx430/SC971	PR1314_1369:746	SC971_RIL
PR1314_1370	Tx430/SC971	PR1314_1370:747	SC971_RIL
PR1314_1371	Tx430/SC971	PR1314_1371:748	SC971_RIL
PR1314_1372	Tx430/SC971	PR1314_1372:749	SC971_RIL
PR1314_1373	Tx430/SC971	PR1314_1373:750	SC971_RIL
PR1314_1374	Tx430/SC971	PR1314_1374:751	SC971_RIL
PR1314_1375	Tx430/SC971	PR1314_1375:752	SC971_RIL
PR1314_1376	Tx430/SC971	PR1314_1376:753	SC971_RIL
PR1314_1377	Tx430/SC971	PR1314_1377:754	SC971_RIL
PR1314_1378	Tx430/SC971	PR1314_1378:755	SC971_RIL
PR1314_1379	Tx430/SC971	PR1314_1379:756	SC971_RIL
PR1314_1380	Tx430/SC971	PR1314_1380:757	SC971_RIL
PR1314_1381	Tx430/SC971	PR1314_1381:758	SC971_RIL
PR1314_1382	Tx430/SC971	PR1314_1382:759	SC971_RIL
PR1314_1383	Tx430/SC971	PR1314_1383:760	SC971_RIL
PR1314_1385	Tx430/SC971	PR1314_1385:761	SC971_RIL
PR1314_1386	Tx430/SC971	PR1314_1386:762	SC971_RIL
PR1314_1387	Tx430/SC971	PR1314_1387:763	SC971_RIL
PR1314_1388	Tx430/SC971	PR1314_1388:764	SC971_RIL
PR1314_1389	Tx430/SC971	PR1314_1389:765	SC971_RIL
PR1314_1390	Tx430/SC971	PR1314_1390:766	SC971_RIL
PR1314_1391	Tx430/SC971	PR1314_1391:767	SC971_RIL
PR1314_1392	Tx430/SC971	PR1314_1392:769	SC971_RIL
PR1314_1393	Tx430/SC971	PR1314_1393:770	SC971_RIL
PR1314_1394	Tx430/SC971	PR1314_1394:771	SC971_RIL
PR1314_1395	Tx430/SC971	PR1314_1395:772	SC971_RIL
PR1314_1396	Tx430/SC971	PR1314_1396:773	SC971_RIL
PR1314_1397	Tx430/SC971	PR1314_1397:774	SC971_RIL
PR1314_1398	Tx430/SC971	PR1314_1398:775	SC971_RIL
PR1314_1399	Tx430/SC971	PR1314_1399:MERGE	SC971_RIL
PR1314_1400	Tx430/SC971	PR1314_1400:777	SC971_RIL
PR1314_1401	Tx430/SC971	PR1314_1401:778	SC971_RIL
PR1314_1402	Tx430/SC971	PR1314_1402:MERGE	SC971_RIL
PR1314_1403	Tx430/SC971	PR1314_1403:MERGE	SC971_RIL
